company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix
1101 台泥,2024/12,0.146621498,0.122632758,0.11136023,0.481123723,2.007338094,11
1101 台泥,2024/06,0.135551258,0.114441073,0.036088328,0.490681125,1.852451944,11
1101 台泥,2023/12,0.171549756,0.150342969,0.171289378,0.459138888,2.10954385,11
1101 台泥,2023/06,0.137001628,0.148047771,0.065318326,0.485649729,1.682885567,11
1101 台泥,2022/12,0.217909493,0.144371311,0.027826417,0.482918519,2.33513407,11
1101 台泥,2022/06,0.210830291,0.138777272,0.006135513,0.515871286,2.097762082,11
1101 台泥,2021/12,0.182631395,0.167404204,0.087822895,0.489104456,1.909542397,11
1101 台泥,2021/06,0.161412923,0.221727465,0.078608719,0.405556341,1.877726244,11
1101 台泥,2020/12,0.134029852,0.190496354,0.183266789,0.438186009,1.724032986,11
1101 台泥,2020/06,0.102823601,0.155888379,0.098034211,0.489047628,1.461878962,11
1101 台泥,2019/12,0.140450942,0.178582799,0.183703017,0.432729634,1.775757089,11
1101 台泥,2019/06,0.112556174,0.140214286,0.075689763,0.468679891,1.511219065,11
1101 台泥,2018/12,0.133329948,0.178992807,0.150987492,0.42636445,1.711226621,11
1101 台泥,2018/06,0.114155937,0.155965257,0.072544297,0.463646446,1.537869247,11
1101 台泥,2017/12,0.100995201,0.179850458,0.102665142,0.43994398,1.422238137,11
1101 台泥,2017/06,0.059100662,0.171525712,0.0395321,0.445492107,1.242691849,11
1101 台泥,2016/12,0.085318567,0.177301604,0.156784326,0.44792917,1.413376762,11
1101 台泥,2016/06,0.051929028,0.159564069,0.080091232,0.453924377,1.237138055,11
1101 台泥,2015/12,0.076806988,0.155504227,0.15818476,0.469457175,1.330615116,11
1101 台泥,2015/06,0.055637501,0.144686861,0.075404246,0.49657818,1.211414997,11
1101 台泥,2014/12,0.09555717,0.169193068,0.152262366,0.446554758,1.407590542,11
1101 台泥,2014/06,0.028411014,0.156095059,0.077842837,0.474379076,1.098195046,11
1102 亞泥,2024/12,0.111373475,0.375029934,0.195371242,0.382655583,1.463971877,11
1102 亞泥,2024/06,0.11619118,0.34489188,0.062755615,0.412382536,1.469331367,11
1102 亞泥,2023/12,0.117166605,0.350166337,0.050181218,0.430210076,1.475982686,11
1102 亞泥,2023/06,0.106533082,0.339813869,-0.030861075,0.450526241,1.405965815,11
1102 亞泥,2022/12,0.124866459,0.355274127,0.109339646,0.431805242,1.570540767,11
1102 亞泥,2022/06,0.106276855,0.336894499,0.038276701,0.454413024,1.428146305,11
1102 亞泥,2021/12,0.10999112,0.362711086,0.062849159,0.431416385,1.490604829,11
1102 亞泥,2021/06,0.076297053,0.349540481,0.048817765,0.463497089,1.313455188,11
1102 亞泥,2020/12,0.077406107,0.375592168,0.154275715,0.428157291,1.359162821,11
1102 亞泥,2020/06,0.057479404,0.350399246,0.075703351,0.461572841,1.225371674,11
1102 亞泥,2019/12,0.050143036,0.365194088,0.291575173,0.429999037,1.200528995,11
1102 亞泥,2019/06,0.073905585,0.336482799,0.111428419,0.450036308,1.315445671,11
1102 亞泥,2018/12,0.062875955,0.357891409,0.089155144,0.430318111,1.279506557,11
1102 亞泥,2018/06,-0.004405301,0.37926884,0.023454748,0.402903516,0.981250141,11
1102 亞泥,2017/12,-0.014917025,0.381262107,0.080371384,0.409885056,0.931685075,11
1102 亞泥,2017/06,-0.032766686,0.364817405,0.008001808,0.444692094,0.867366989,11
1102 亞泥,2016/12,0.00541382,0.384111676,0.131047441,0.410144849,1.031598533,11
1102 亞泥,2016/06,-0.0683869,0.362267048,0.062866927,0.429066818,0.727497157,11
1102 亞泥,2015/12,-0.045837418,0.33898579,0.117965172,0.426629916,0.810197843,11
1102 亞泥,2015/06,-0.038192228,0.323121456,0.030560911,0.44077726,0.854475603,11
1102 亞泥,2014/12,0.019693411,0.335422665,0.087888606,0.428160079,1.085701497,11
1102 亞泥,2014/06,-0.001794792,0.341598679,0.01826477,0.44194161,0.992384447,11
1103 嘉泥,2024/12,0.197356326,0.290519321,0.030455009,0.384522842,3.366263806,11
1103 嘉泥,2024/06,0.202595434,0.272642644,0.01077074,0.392031423,3.117579125,11
1103 嘉泥,2023/12,0.19875073,0.281331835,-0.005339897,0.385192172,3.194996098,11
1103 嘉泥,2023/06,0.176146259,0.27010122,-0.003054145,0.379765899,2.60894344,11
1103 嘉泥,2022/12,0.191030293,0.289855604,-0.02710773,0.39651929,3.029402731,11
