feature,coefficient,abs_coefficient
num__RetainedEarnings_TotalAssets,0.4935454630536918,0.4935454630536918
num__CashFlow_TotalDebt,0.11423272921201805,0.11423272921201805
num__TotalDebt_TotalAssets,0.089935661888817,0.089935661888817
num__WorkingCapital_TotalAssets,0.08341169462772745,0.08341169462772745
num__stock_prefix,0.0729069408863643,0.0729069408863643
num__CurrentRatio,0.06833661095821833,0.06833661095821833
cat__GICS_Category_10,0.03483940894988091,0.03483940894988091
cat__GICS_Category_0,0.009760821782954615,0.009760821782954615
cat__GICS_Category_8,0.007779911462084803,0.007779911462084803
cat__GICS_Category_1,0.006490093030848685,0.006490093030848685
cat__GICS_Category_9,0.005602629908603464,0.005602629908603464
cat__GICS_Category_5,0.004357941110021428,0.004357941110021428
cat__GICS_Category_6,0.003769250548354731,0.003769250548354731
cat__GICS_Category_3,0.003401377004681862,0.003401377004681862
cat__GICS_Category_11,0.001210040702376893,0.001210040702376893
cat__GICS_Category_7,0.0004194248733557563,0.0004194248733557563
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__CashFlow_TotalDebt_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
