coid,mdate,tcri,scr,xcdt,industry,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio
1103,2014-12-01,6,400.0,,11,0.282529397,0.249221934,0.032193162,0.427262411,3.825632121
1103,2015-12-01,6,432.0,,11,0.334411495,0.305785822,0.022748513,0.487042163,6.999330438
1103,2016-12-01,6,371.0,,11,0.285583861,0.319011423,0.04022031,0.394798567,4.765859057
1103,2017-12-01,6,330.0,,11,0.23974551,0.32044846,0.044538313,0.319837223,3.930058661
1103,2018-12-01,6,331.0,,11,0.248721637,0.302387081,-0.057474419,0.345961932,3.489681404
1103,2019-12-01,6,359.0,,11,0.179675364,0.275325425,-0.011245905,0.388537259,2.88007545
1103,2020-12-01,6,574.0,,11,0.21364972,0.286711704,0.033964754,0.384509932,3.854282629
1103,2021-12-01,6,401.0,,11,0.207896158,0.279198878,-0.013580967,0.356229933,3.999766252
1103,2022-12-01,6,383.0,,11,0.191030293,0.289855604,-0.02710773,0.39651929,3.029402731
1103,2023-12-01,6,417.0,,11,0.19875073,0.281331835,-0.005339897,0.385192172,3.194996098
1103,2024-12-01,6,424.0,,11,0.197356326,0.290519321,0.030455009,0.384522842,3.366263806
1104,2014-12-01,5,617.0,,11,0.030133176,0.411955297,0.184101924,0.184947177,1.282345161
1104,2015-12-01,5,598.0,,11,0.028978506,0.432549787,0.213477195,0.198813812,1.23509879
1104,2016-12-01,5,632.0,,11,0.052857919,0.474270057,0.187552502,0.194180856,1.418592939
1104,2017-12-01,5,585.0,,11,0.053341839,0.476223701,0.158632325,0.191926472,1.41470421
1104,2018-12-01,5,549.0,,11,0.027600869,0.467844454,0.126898264,0.210275457,1.181381694
1104,2019-12-01,5,549.0,,11,0.018605643,0.47062967,0.141516322,0.226429458,1.113628546
1104,2020-12-01,5,612.0,,11,0.02473624,0.477775114,0.1907218,0.22061972,1.157088115
1104,2021-12-01,5,616.0,,11,0.030267498,0.473561593,0.241969061,0.227612325,1.178942357
1104,2022-12-01,5,657.0,,11,0.032262311,0.477267514,0.161177373,0.225997437,1.188848128
1104,2023-12-01,5,696.0,,11,0.097822917,0.503936067,0.281034527,0.19551302,1.676069401
1104,2024-12-01,5,688.0,,11,0.114089927,0.484645282,0.369247302,0.174565588,1.889715966
1108,2014-12-01,7,443.0,,11,0.38594348,0.0608601,0.221749843,0.448169313,2.383036031
1108,2015-12-01,6,502.0,,11,0.431292615,0.092687393,0.338272027,0.383150307,2.856710781
1108,2016-12-01,6,405.0,,11,0.35547421,0.089892816,0.083469002,0.380619567,2.057955459
1108,2017-12-01,7,259.0,,11,0.441617847,0.049465154,0.028856145,0.388056851,2.660092107
1108,2018-12-01,7,242.0,,11,0.439084297,0.025043268,0.024701133,0.420442896,2.844661704
1108,2019-12-01,7,307.0,,11,0.473471857,0.036767707,0.087351144,0.410423043,3.145785963
1108,2020-12-01,6,449.0,,11,0.390379488,0.075367866,0.246872764,0.419865342,2.456677987
1108,2021-12-01,6,357.0,,11,0.259350312,0.07447222,0.024181305,0.422315154,1.687781606
1108,2022-12-01,6,455.0,,11,0.251636458,0.098260057,0.135547074,0.492252691,1.696934899
1108,2023-12-01,6,458.0,,11,0.266613426,0.106323621,0.131704364,0.491385196,1.806040401
1108,2024-12-01,6,441.0,,11,0.175936346,0.111619806,0.1725378,0.502865376,1.440786539
1109,2014-12-01,6,541.0,,11,0.099837831,0.168984485,0.272838073,0.242515254,1.503625949
1109,2015-12-01,6,462.0,,11,0.166570484,0.172518847,0.22520568,0.260341956,2.519189502
1109,2016-12-01,6,519.0,,11,0.178779971,0.181403743,0.26233831,0.267808073,2.246866523
1109,2017-12-01,5,678.0,,11,0.234605876,0.235737983,0.330173881,0.207749164,3.085042116
1109,2018-12-01,5,721.0,,11,0.250638193,0.286919527,0.401589759,0.244029969,2.28518789
1109,2019-12-01,5,761.0,,11,0.306164774,0.322414459,0.834902537,0.228853965,2.518297533
1109,2020-12-01,5,756.0,,11,0.373410821,0.358239608,0.94607709,0.192195988,3.039365659
1109,2021-12-01,5,725.0,,11,0.426955623,0.392149608,0.624176862,0.158017303,3.855153741
1109,2022-12-01,5,632.0,,11,0.429188237,0.389482496,0.817891741,0.158961694,4.027073347
1109,2023-12-01,5,666.0,,11,0.457973549,0.422336262,0.454505335,0.135998087,4.806243082
1109,2024-12-01,5,591.0,,11,0.484637787,0.439525326,0.374261212,0.095524217,6.997321891
1110,2014-12-01,6,462.0,,11,0.155580643,0.206576833,0.12570015,0.077416678,6.072970642
1110,2015-12-01,6,395.0,,11,0.167885278,0.214555486,0.282489618,0.079173141,5.053833563
1110,2016-12-01,6,341.0,,11,0.189662613,0.217982339,-0.477645242,0.06161825,7.931689641
1110,2017-12-01,6,402.0,,11,0.176897867,0.214596322,-0.204594122,0.083871606,4.594130332
1110,2018-12-01,6,357.0,,11,0.17487906,0.231064937,0.02165133,0.07954507,4.918221288
1110,2019-12-01,6,319.0,,11,0.140091196,0.217044299,0.152024519,0.120053616,3.062308907
1110,2020-12-01,6,303.0,,11,0.125678539,0.212177507,0.084086979,0.133457506,2.71270168
1110,2021-12-01,6,270.0,,11,0.033758452,0.198588584,0.118607112,0.205118492,1.219754775
1110,2022-12-01,6,241.0,,11,0.008763947,0.184437728,-0.084779718,0.272152263,1.044130994
1110,2023-12-01,6,275.0,,11,0.063020183,0.194853777,0.09864844,0.236544375,1.427984312
