slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50,isotonic.pr_auc,isotonic.roc_auc,isotonic.f1,isotonic.precision,isotonic.recall,isotonic.brier,isotonic.logloss,isotonic.ece,isotonic.threshold,isotonic.recall_at_p>=0.50,isotonic.threshold_at_p>=0.50
industry=12,12,2,1.0,1.0,1.0,1.0,1.0,0.07240311364933544,0.2787599834492955,0.2311842873691847,0.4662064968252066,1.0,0.3878113342225798,1.0,1.0,1.0,1.0,1.0,0.06569431893141493,0.27097148708210345,0.22832107182315833,0.4662064968252066,1.0,0.3201043685612453,1.0,1.0,1.0,1.0,1.0,0.03227015233470205,0.1857642154522523,0.16680871760748767,0.4662064968252066,1.0,0.2413793103448276
industry=13,12,1,0.5,0.9090909090909091,0.5,0.3333333333333333,1.0,0.14580880031377252,0.6586343293425244,0.28300279283552127,0.4662064968252066,1.0,0.6846145462947681,0.5,0.9090909090909091,0.6666666666666666,0.5,1.0,0.1359086234791607,0.50875343767465,0.27988794006115886,0.4662064968252066,1.0,0.5361832417116459,0.5,0.9090909090909091,0.5,0.3333333333333333,1.0,0.10481082854090372,0.3600909534930406,0.22328553304831616,0.4662064968252066,1.0,0.7
industry=14,40,20,0.7279535268531212,0.7,0.6666666666666666,0.5714285714285714,0.8,0.2600088482014652,0.9306186591065011,0.22543866271820848,0.4662064968252066,1.0,0.014524322601037773,0.7279535268531212,0.7,0.6190476190476191,0.5909090909090909,0.65,0.23466692261247718,0.7681938396619858,0.17645748761466568,0.4662064968252066,1.0,0.02941797383322201,0.6756653411825826,0.68625,0.6046511627906976,0.5652173913043478,0.65,0.25721925064233575,1.5821243777366938,0.24824519181677485,0.4662064968252066,1.0,0.0
industry=15,27,11,0.7531080031080032,0.7556818181818181,0.7,0.7777777777777778,0.6363636363636364,0.17264629959541372,0.5445532620202127,0.18155006039788005,0.4662064968252066,0.8181818181818182,0.15282844598465925,0.7531080031080032,0.7556818181818181,0.7,0.7777777777777778,0.6363636363636364,0.17318441606526488,0.5294181323643686,0.16036832644357105,0.4662064968252066,0.8181818181818182,0.158500390487525,0.6817899272444726,0.7301136363636364,0.7,0.7777777777777778,0.6363636363636364,0.1790153437791103,0.5608315687675934,0.15097347750668658,0.4662064968252066,0.7272727272727273,0.1111111111111111
industry=16,9,2,0.375,0.5,0.0,0.0,0.0,0.19220950959522884,0.7318838875525469,0.2245079157545658,0.4662064968252066,0.5,0.30210012628954297,0.375,0.5,0.0,0.0,0.0,0.18938104558859584,0.6617479209953772,0.1175642092626258,0.4662064968252066,0.5,0.26288388544504665,0.2777777777777778,0.4642857142857143,0.0,0.0,0.0,0.19473695536551416,4.2675568568577145,0.17136204690488824,0.4662064968252066,0.0,0.5
industry=17,25,1,1.0,1.0,0.4,0.25,1.0,0.07337732451377746,0.2623378797186525,0.2089428146016563,0.4662064968252066,1.0,0.5687612142540285,1.0,1.0,1.0,1.0,1.0,0.05797673543077682,0.2366291471338962,0.19775751408440795,0.4662064968252066,1.0,0.44560844060716764,1.0,1.0,0.6666666666666666,0.5,1.0,0.04248306211507838,0.18993765403212998,0.16172152261338313,0.4662064968252066,1.0,0.5
industry=18,7,2,0.6428571428571428,0.5,0.5,0.5,0.5,0.20709023049560593,0.832265876987908,0.31927551209818383,0.4662064968252066,0.5,0.5342386689707316,0.6428571428571428,0.5,0.6666666666666666,1.0,0.5,0.18222825138542742,0.6968432270876329,0.2943622920682978,0.4662064968252066,0.5,0.42060945219692886,0.6428571428571428,0.5,0.6666666666666666,1.0,0.5,0.18553757010487484,5.333848765138761,0.2574615594689809,0.4662064968252066,0.5,0.4444444444444444
industry=19,5,3,0.9166666666666665,0.8333333333333333,0.8,1.0,0.6666666666666666,0.24035275169820278,0.7918478219817169,0.3657424262227918,0.4662064968252066,1.0,0.02726086057875292,0.9166666666666665,0.8333333333333333,0.5,1.0,0.3333333333333333,0.26649887633059055,0.8130764033964516,0.4037619009634454,0.4662064968252066,1.0,0.046195737412204695,0.9166666666666665,0.8333333333333333,0.8,1.0,0.6666666666666666,0.2335696029243084,0.7314178263248058,0.34683853183853186,0.4662064968252066,1.0,0.07407407407407407
industry=20,20,7,0.4265544814416995,0.5824175824175823,0.5454545454545454,0.4,0.8571428571428571,0.33438514820688386,1.0359039780323,0.37780505746743254,0.4662064968252066,0.7142857142857143,0.7144392967806191,0.4265544814416995,0.5824175824175823,0.5555555555555556,0.45454545454545453,0.7142857142857143,0.2766876188291536,0.7951259190637268,0.3364531783956097,0.4662064968252066,0.7142857142857143,0.561818222820564,0.4383458646616541,0.6153846153846154,0.5263157894736842,0.4166666666666667,0.7142857142857143,0.30852042894410947,0.8767749555434247,0.32513019700917944,0.4662064968252066,0.7142857142857143,0.8051948051948052
industry=21,5,2,1.0,1.0,1.0,1.0,1.0,0.007266975989224679,0.0630143221460773,0.05895539024785546,0.4662064968252066,1.0,0.018113743938802697,1.0,1.0,1.0,1.0,1.0,0.01581947713519039,0.1113974041813695,0.10244823214024852,0.4662064968252066,1.0,0.03447125776567913,1.0,1.0,1.0,1.0,1.0,0.006699144907844991,0.06692232006053725,0.06331521739130436,0.4662064968252066,1.0,0.09782608695652174
industry=22,6,2,0.5,0.625,0.4,0.3333333333333333,0.5,0.3797203078201083,1.9657682890240535,0.430990430964799,0.4662064968252066,1.0,0.2998679986508576,0.5,0.625,0.4,0.3333333333333333,0.5,0.35098452941010505,1.4221386362944093,0.4072073020390573,0.4662064968252066,1.0,0.2613871698951679,0.5,0.625,0.4,0.3333333333333333,0.5,0.3671068462556483,1.047364421571642,0.40778597709041253,0.4662064968252066,1.0,0.1935483870967742
industry=23,31,7,0.8006211180124223,0.875,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.14700632357653196,0.45131184015443365,0.2377353366301,0.4662064968252066,0.8571428571428571,0.4636739092935786,0.8006211180124223,0.875,0.75,0.6666666666666666,0.8571428571428571,0.12047652742587268,0.38420633474760124,0.14415348849719242,0.4662064968252066,0.8571428571428571,0.37133664113888587,0.6694139194139195,0.8482142857142858,0.75,0.6666666666666666,0.8571428571428571,0.1320867126715471,0.42157098044927466,0.1535333582103495,0.4662064968252066,0.8571428571428571,0.3888888888888889
industry=24,53,19,0.8544145590391719,0.8869969040247678,0.7804878048780488,0.7272727272727273,0.8421052631578947,0.128665278674877,0.40819783910215907,0.14686118626396363,0.4662064968252066,0.9473684210526315,0.14590239894853194,0.8544145590391719,0.8869969040247678,0.8,0.875,0.7368421052631579,0.12447205172586176,0.40085902926411293,0.10525810733722807,0.4662064968252066,0.9473684210526315,0.15326828549296995,0.8207409817741638,0.8792569659442724,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.1173038972464829,0.3914565253833405,0.09053537953962706,0.4662064968252066,0.8421052631578947,0.1111111111111111
industry=25,25,11,0.8309467048103413,0.8506493506493507,0.7586206896551724,0.6111111111111112,1.0,0.2193059091632321,0.776772431133297,0.290377812559515,0.4662064968252066,1.0,0.27628363205046713,0.8309467048103413,0.8506493506493507,0.8148148148148148,0.6875,1.0,0.18867601694460606,0.5786479714083099,0.2452791963080735,0.4662064968252066,1.0,0.2455142251835887,0.762224517906336,0.8571428571428571,0.8148148148148148,0.6875,1.0,0.18038122114360144,0.5548506241113702,0.2244821795814234,0.4662064968252066,1.0,0.1935483870967742
industry=26,17,4,0.48214285714285715,0.7884615384615384,0.4444444444444444,0.4,0.5,0.22265130956076823,0.8242264230955804,0.3040382987508963,0.4662064968252066,1.0,0.29078072754007456,0.48214285714285715,0.7884615384615384,0.4444444444444444,0.4,0.5,0.20682580974272635,0.6498988896690578,0.30034321479863324,0.4662064968252066,1.0,0.2552848474429845,0.4154761904761905,0.7788461538461539,0.4444444444444444,0.4,0.5,0.21977240266676876,0.6347122648357514,0.24212120336228293,0.4662064968252066,1.0,0.1935483870967742
industry=27,9,3,1.0,1.0,0.8571428571428571,0.75,1.0,0.09229140857451462,0.3364552120952251,0.2725994396693571,0.4662064968252066,1.0,0.3265475797888427,1.0,1.0,1.0,1.0,1.0,0.0922373498684723,0.34763889593946506,0.28626470358380895,0.4662064968252066,1.0,0.279233388987331,1.0,1.0,1.0,1.0,1.0,0.04729960567762522,0.22694179862387476,0.1974527599454551,0.4662064968252066,1.0,0.2
