coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
1103,2014-12-01,6,400.0,,1103 嘉泥,0.2488342191831498,0.2225209045352664,0.0316858223265223,0.3557582118297742,1.573941735795607,11,0,0,0,0,0,水泥工業,9
1103,2015-12-01,6,432.0,,1103 嘉泥,0.2884903665916012,0.2668050218086736,0.0224936237320243,0.3967890213531831,2.07935784292879,11,0,0,0,0,0,水泥工業,9
1103,2016-12-01,6,371.0,,1103 嘉泥,0.2512129816728142,0.276882534231577,0.0394325269934189,0.3327500087370086,1.751954155159802,11,0,0,0,0,0,水泥工業,9
1103,2017-12-01,6,330.0,,1103 嘉泥,0.2149061248038864,0.2779714212161175,0.0435749816871803,0.2775084129997288,1.59535088669481,11,0,0,0,0,0,水泥工業,9
1103,2018-12-01,6,331.0,,1103 嘉泥,0.2221203374755024,0.2641987971431858,-0.0558834415308313,0.297108948386717,1.501781742470505,11,0,0,0,0,0,水泥工業,9
1103,2019-12-01,6,359.0,,1103 嘉泥,0.1652392851913432,0.2432013810880453,-0.0111831403070185,0.3282508613777098,1.355854599342809,11,0,0,0,0,0,水泥工業,9
1103,2020-12-01,6,574.0,,1103 嘉泥,0.1936321168738671,0.2520898972218453,0.0334006886771451,0.3253462376705475,1.579861331687028,11,0,0,0,0,0,水泥工業,9
1103,2021-12-01,6,401.0,,1103 嘉泥,0.1888801336621488,0.2462340054005873,-0.013489572174415,0.3047087419018736,1.609391161729927,11,0,0,0,0,0,水泥工業,9
1103,2022-12-01,6,383.0,,1103 嘉泥,0.174818724929722,0.2545302769178537,-0.0267468228446061,0.3339829197423971,1.393618159196765,11,0,0,0,0,0,水泥工業,9
1103,2023-12-01,6,417.0,,1103 嘉泥,0.1812799561495121,0.2479000331641845,-0.0053256905060365,0.3258388820836132,1.433892409648359,11,0,0,0,0,0,水泥工業,9
1103,2024-12-01,6,424.0,,1103 嘉泥,0.1801160650089038,0.2550447121434853,0.0300004611246313,0.3253555615896082,1.473907679083842,11,0,0,0,0,0,水泥工業,9
1104,2014-12-01,5,617.0,,1104 環泥,0.0296880910752956,0.3449754790512198,0.1689846172802359,0.1696981970184729,0.8252034937455629,11,0,0,0,0,0,水泥工業,9
1104,2015-12-01,5,598.0,,1104 環泥,0.0285665681446214,0.3594559244216337,0.1934899531373174,0.1813325782300284,0.8042854285529358,11,0,0,0,0,0,水泥工業,9
