feature,coefficient,abs_coefficient
num__RetainedEarnings_TotalAssets,0.4584966460770962,0.4584966460770962
num__CashFlow_TotalDebt,0.1831604137308651,0.1831604137308651
num__TotalDebt_TotalAssets,0.0914315372503963,0.0914315372503963
num__WorkingCapital_TotalAssets,0.07845022755449417,0.07845022755449417
num__CurrentRatio,0.0772594445633476,0.0772594445633476
num__stock_prefix,0.04337688185966149,0.04337688185966149
cat__GICS_Category_10,0.028662278949190816,0.028662278949190816
cat__GICS_Category_9,0.012239654905946454,0.012239654905946454
cat__GICS_Category_1,0.007267471560790743,0.007267471560790743
cat__GICS_Category_0,0.006099954743614557,0.006099954743614557
cat__GICS_Category_8,0.0051006051420378964,0.0051006051420378964
cat__GICS_Category_6,0.0028193684839567384,0.0028193684839567384
cat__GICS_Category_7,0.0017398297717028657,0.0017398297717028657
cat__GICS_Category_3,0.0015855861969683578,0.0015855861969683578
cat__GICS_Category_5,0.0015385922305491604,0.0015385922305491604
cat__GICS_Category_11,0.0007715069793815718,0.0007715069793815718
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__CashFlow_TotalDebt_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
