feature,coefficient,abs_coefficient
num__RetainedEarnings_TotalAssets,-1.8504749729105474,1.8504749729105474
cat__GICS_Category_10,1.590500033935039,1.590500033935039
cat__GICS_Category_7,-1.221458994840437,1.221458994840437
cat__GICS_Category_9,-0.5966048534359883,0.5966048534359883
num__CashFlow_TotalDebt,-0.4628282473047447,0.4628282473047447
num__WorkingCapital_TotalAssets,-0.3943859147454681,0.3943859147454681
cat__GICS_Category_3,-0.23480190242774618,0.23480190242774618
cat__GICS_Category_5,0.16034679586318462,0.16034679586318462
cat__GICS_Category_1,-0.13257676212808062,0.13257676212808062
num__TotalDebt_TotalAssets,-0.11858297653718988,0.11858297653718988
num__CurrentRatio,0.10823156319763394,0.10823156319763394
cat__GICS_Category_0,0.10135507121037171,0.10135507121037171
cat__GICS_Category_6,0.08186041653438239,0.08186041653438239
cat__GICS_Category_8,0.0534689183562717,0.0534689183562717
cat__GICS_Category_11,0.04167003125713595,0.04167003125713595
num__stock_prefix,-0.0007180254263450614,0.0007180254263450614
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__CashFlow_TotalDebt_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
