feature,coefficient,abs_coefficient
num__RetainedEarnings_TotalAssets,-1.5710574015031697,1.5710574015031697
cat__GICS_Category_10,1.2010889497397135,1.2010889497397135
cat__GICS_Category_7,-0.9081237602232664,0.9081237602232664
num__CashFlow_TotalDebt,-0.5017182792932161,0.5017182792932161
num__TotalDebt_TotalAssets,-0.46138427326481957,0.46138427326481957
cat__GICS_Category_5,0.3118307976048996,0.3118307976048996
cat__GICS_Category_6,-0.30584446891609607,0.30584446891609607
num__WorkingCapital_TotalAssets,-0.2781532474670289,0.2781532474670289
cat__GICS_Category_9,-0.27294496222651077,0.27294496222651077
cat__GICS_Category_8,0.26892778893606595,0.26892778893606595
cat__GICS_Category_11,-0.24100984047930557,0.24100984047930557
cat__GICS_Category_1,0.18229443792561156,0.18229443792561156
cat__GICS_Category_3,-0.1323831529562135,0.1323831529562135
num__CurrentRatio,0.10954064301824151,0.10954064301824151
cat__GICS_Category_0,0.09542578663195646,0.09542578663195646
num__stock_prefix,-0.009816864715954969,0.009816864715954969
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__CashFlow_TotalDebt_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
