feature,coefficient,abs_coefficient
num__RetainedEarnings_TotalAssets,0.2001726,0.2001726
cat__GICS_Category_10,0.12650336,0.12650336
num__CashFlow_TotalDebt,0.07179535,0.07179535
cat__GICS_Category_0,0.06955968,0.06955968
cat__GICS_Category_9,0.063876465,0.063876465
cat__GICS_Category_1,0.06315727,0.06315727
cat__GICS_Category_8,0.052161258,0.052161258
num__stock_prefix,0.04934735,0.04934735
num__WorkingCapital_TotalAssets,0.046899356,0.046899356
num__TotalDebt_TotalAssets,0.046230014,0.046230014
cat__GICS_Category_5,0.042283177,0.042283177
cat__GICS_Category_6,0.04162332,0.04162332
num__CurrentRatio,0.040715434,0.040715434
cat__GICS_Category_3,0.040252678,0.040252678
cat__GICS_Category_11,0.0297234,0.0297234
cat__GICS_Category_7,0.015699347,0.015699347
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__CashFlow_TotalDebt_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
