company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1101 台泥,2024/12,0.1368197908727534,0.1156766033242671,0.105584697158084,0.392801071831251,1.101055333350703,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2020/06,0.09787380081342768,0.1448692074784172,0.09352149976705082,0.3981367398311698,0.9009248641415541,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2021/06,0.1496373010539951,0.2002658122802041,0.07567198756399914,0.340433196763952,1.057000483624938,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2018/12,0.1251601561714823,0.1646605203133805,0.1406202628005866,0.3551288641915718,0.9974011601068085,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2018/06,0.1080971107552495,0.1449357152440411,0.07003367390977536,0.3809308878975808,0.9313248497507849,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2016/12,0.08187355421538514,0.1632250433793693,0.1456440226337134,0.3701343770247145,0.8810269129730395,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2015/12,0.07400016944904085,0.1445368089000189,0.1468539177293331,0.3848930636408983,0.8461322309286774,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2022/12,0.1971358585356199,0.1348554131888921,0.02744629731981908,0.3940121183057849,1.204512879416314,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2023/06,0.1283946469192998,0.1380629094984519,0.06327365224699275,0.3958522042651598,0.986892919436272,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2021/12,0.1677419511835078,0.1547826549101997,0.08417835487381885,0.39817490309208,1.067995816928847,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2016/06,0.05062564806246056,0.1480441319208592,0.07704551193341612,0.3742663674765276,0.8051973948814052,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2014/06,0.02801490576766233,0.1450479975992466,0.07496167025471004,0.388236935741056,0.7410774733684294,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2015/06,0.05414485068117735,0.1351311161536101,0.07269663385190975,0.4031812888200506,0.7936325806404982,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2017/12,0.09621449914049589,0.1653876996464885,0.09773010554070528,0.3646042102722325,0.8846919629108578,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2017/06,0.05742011569693336,0.1583069270145379,0.03877070815937542,0.3684498222535718,0.8076768628950115,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2024/06,0.1271182228960562,0.1083529991949659,0.03545239861705888,0.3992331465748613,1.048178955738162,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2014/12,0.09126306453117995,0.1563138251804871,0.1417272842793785,0.3691847001015636,0.8786264722145247,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2020/12,0.1257775291024291,0.1743703247532642,0.1682790785050004,0.3633826034468338,1.002113497586883,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2023/12,0.1583274502789244,0.1400601315281842,0.1581051742737468,0.377846459014312,1.134476043278654,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2022/06,0.1913063150224436,0.1299551185256454,0.006116767712439008,0.4159903801821401,1.130679941727669,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2019/12,0.1314237470118125,0.1643126991200821,0.1686476751791836,0.3595814597976813,1.020923534675368,11,0,0,0,0,0,1101,水泥工業,9
1101 台泥,2019/06,0.1066602268284597,0.1312162150943452,0.07296209580404206,0.3843639636537968,0.9207683185445923,11,0,0,0,0,0,1101,水泥工業,9
1102 亞泥,2022/12,0.1176643251606821,0.3040037418908282,0.1037649252019446,0.3589360552691125,0.9441162917545347,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2021/12,0.1043520149168626,0.3094761608058114,0.06095318795172622,0.3586644328050265,0.9125255841009315,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2018/06,-0.004395625852998348,0.321553532569874,0.02318391190235754,0.3385440290782062,0.6837280297615977,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2023/06,0.1012317777918616,0.2925307003862432,-0.03039444791951644,0.3719264154970064,0.8779514091196506,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2020/06,0.05588815567469543,0.3004002867436457,0.07297472753703355,0.3795131442191282,0.7999239460593786,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2021/06,0.07352649503764305,0.2997641498662409,0.04766359138194638,0.3808288379268123,0.8387421595389762,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2014/06,-0.001793183187746121,0.2938619469488993,0.01809997301026105,0.3659905457337849,0.6893321357912989,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2018/12,0.06097839923390944,0.3059330620741617,0.08540229864756542,0.3578968749943578,0.82395899730965,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2024/12,0.105596615185187,0.3184755012472163,0.1784568002061776,0.3240059858307373,0.901774632098139,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2016/06,-0.06614994096720465,0.3091502588671872,0.06096990519534949,0.3570216566216641,0.5466736309274667,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2015/06,-0.03748095816800671,0.2799936843307421,0.03010322789398331,0.3651827320527191,0.617601962344378,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2015/12,-0.04481792171849418,0.2919124541064749,0.1115102220447616,0.3553149608087924,0.5934361451053835,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2022/06,0.1010001926016539,0.2903493862612024,0.03756232013882373,0.3746023996238797,0.8871281287519077,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2024/06,0.1099221573042011,0.2963136230362635,0.06086517196354053,0.3452780204040611,0.9039474125306097,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2019/12,0.04892637923959331,0.3112966073630057,0.2558625378458472,0.3576737711254317,0.788697783911657,11,0,0,0,0,0,1102,水泥工業,9
1102 亞泥,2019/06,0.07130208243300772,0.2900413860321919,0.1056460517673306,0.371588596166666,0.8396021836788041,11,0,0,0,0,0,1102,水泥工業,9
